artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
NINE.i (나인아이),-0.05339999999999997,0.18432493098299932,0.7174989092391371,17,3,2022,2024,0.5468,0.44,-0.10679999999999995
NMIXX (엔믹스),0.06771132478632481,0.8427128292024918,0.0820060843325312,32,4,2022,2025,0.5396666666666666,0.76175,0.2220833333333334
NTX (엔티엑스),0.0002884353741496648,7.731728827571595e-05,0.9868108024584014,22,6,2020,2025,0.41933333333333334,0.44728571428571434,0.027952380952381006
NU’EST (뉴이스트),0.001513693408143338,0.002320842833002333,0.8700914652661275,103,14,2011,2025,0.4295,0.624,0.1945
NewJeans (뉴진스),-0.014200000000000044,0.18542618027494287,0.7165959160008162,20,3,2022,2024,0.5944,0.566,-0.028400000000000092
Nine Muses/9MUSES (나인뮤지스),-0.007971515931766975,0.0812290652245274,0.49384501024239935,42,8,2011,2024,0.498,0.27,-0.22799999999999998
OH MY GIRL (오마이걸),-0.010695911253151072,0.07977467425355515,0.3737458090056246,138,12,2013,2024,0.259,0.3585,0.09949999999999998
ONEUS (원어스),0.0038332137978142034,0.005009991019457201,0.8801387290502753,70,7,2017,2024,0.52,0.527,0.007000000000000006
ONEWE (원위),0.047299999999999995,0.4892903694242998,0.506818484016444,14,3,2019,2021,0.004,0.0986,0.09459999999999999
ONF (온앤오프),-0.008123805545610057,0.12223847615761989,0.39591402607523646,74,8,2017,2024,0.2848333333333333,0.2529444444444444,-0.03188888888888891
ORANGE CARAMEL (오렌지 카라멜),-0.001976221198156682,0.0068611514342591376,0.876036060177011,26,6,2010,2021,0.0494,0.126,0.0766
OnlyOneOf (온리원오브),-0.03179732905982908,0.16191159069578748,0.5976176063794696,44,4,2020,2023,0.537,0.369375,-0.16762500000000002
P1Harmony (피원하모니),0.09006911764705883,0.8586249077713697,0.007879342305101079,61,6,2020,2025,0.3113333333333333,0.856625,0.5452916666666667
PENTAGON (펜타곤),0.007030193833543974,0.03873151085443762,0.5857832094769249,121,10,2013,2024,0.11966666666666666,0.017,-0.10266666666666666
PHANTOM (팬텀),0.015051948051948053,0.694246825473632,0.16678524648585824,11,4,2012,2023,0.2065,0.3165,0.11000000000000001
PRISTIN (프리스틴),0.0034650000000000015,0.0014804370129691182,0.9510223558780699,25,5,2016,2024,0.1365,0.122,-0.014500000000000013
PSY (싸이),-0.023114204545454542,0.14128099156790336,0.40600097461823026,13,7,2012,2023,0.12425,0.125,0.0007500000000000007
PURPLE KISS (퍼플키스),0.03495748751248752,0.14387659388684196,0.4583209407083627,49,6,2020,2025,0.287,0.317,0.030000000000000027
Park Jihoon (박지훈),0.0029511111111111214,0.3620490471719644,0.28302155275193125,54,5,2019,2023,0.315,0.32320000000000004,0.00820000000000004
RIIZE (라이즈),-0.03599999999999999,0.08043070144136032,0.7163969297744464,12,4,2023,2026,0.7115,0.672,-0.03949999999999998
ROMEO (로미오),0.008596687370600415,0.0585161646866457,0.6442258438870025,19,6,2015,2024,0.429,0.332,-0.09699999999999998
RaNia/BP RANIA (라니아),-0.039551205936920235,0.6838197141141787,0.08414792571051788,19,5,2011,2018,0.6135,0.304,-0.30950000000000005
Rain (비),-0.00949706572769953,0.03549727803754743,0.7207331516120259,15,6,2014,2022,0.31375000000000003,0.159,-0.15475000000000003
Raina (레이나),-0.005225495153813736,0.054360256460312284,0.5460184522685421,19,9,2012,2024,0.1725,0.0,-0.1725
Rainbow (레인보우),-0.00863816738816739,0.06705542886142,0.4700255310043572,35,10,2010,2020,0.39649999999999996,0.357,-0.03949999999999998
